job_title,company_name,company_location,work_method,post_date,work_time
Senior Statistician – Late Respiratory & Immunology,AstraZeneca,"Barcelona, Catalonia, Spain",Remote,1 week ago,Full-time · Entry level
Senior Data Analyst - Marketing Analytics,Back Market,"Barcelona, Catalonia, Spain",Remote,1 day ago,Full-time
Quant Senior Valoración,KPMG España,"Madrid, Community of Madrid, Spain",On-site,2 days ago,Full-time · Mid-Senior level
Finance Data Analyst,Guardian Industries,"Tudela, Chartered Community of Navarre, Spain",On-site,1 month ago,Full-time · Entry level
REMOTE WORK for Spanish Speakers | Data Analyst,TELUS International AI Data Solutions,"Aragon, Spain",Remote,21 hours ago,Full-time · Mid-Senior level
Senior Business Analyst (Pricing),Kiwi.com,"Barcelona, Catalonia, Spain",On-site,1 day ago,Internship
Business Analyst (SWIFT),atSistemas,"Madrid, Community of Madrid, Spain",On-site,3 weeks ago,Full-time · Mid-Senior level
Renewable Data Analyst (Power),Michael Page,"Madrid, Community of Madrid, Spain",Remote,1 week ago,Full-time · Associate
REMOTE WORK for Spanish Speakers | Data Analyst,TELUS International AI Data Solutions,"Andalusia, Spain",On-site,1 week ago,Full-time · Mid-Senior level
Data Partnerships Senior Analyst – Insights,PepsiCo,"Barcelona, Catalonia, Spain",Hybrid,2 days ago,Full-time · Mid-Senior level
Sales Planning and Performance Analyst,Hotelbeds,"Palma, Balearic Islands, Spain",Hybrid,2 weeks ago,Full-time · Entry level
Principal Statistician,CROMSOURCE,Spain,Remote,1 week ago,Part-time · Entry level
"Consultant, Data Analytics | Strategy Consulting | Madrid",FTI Consulting,Greater Madrid Metropolitan Area,On-site,8 hours ago,Part-time · Entry level
Data Scientist,MIOTI Data Consulting Services,"Madrid, Community of Madrid, Spain",Remote,6 days ago,Full-time · Mid-Senior level
REMOTE WORK for Spanish Speakers | Data Analyst,TELUS International AI Data Solutions,Greater Sevilla Metropolitan Area,Hybrid,2 months ago,Full-time · Mid-Senior level
REMOTE WORK for Spanish Speakers | Data Analyst,TELUS International AI Data Solutions,Greater Zaragoza Metropolitan Area,Remote,1 day ago,Full-time · Entry level
"Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Oviedo, Principality of Asturias, Spain",On-site,4 weeks ago,Full-time
Senior Biostatistician (CDS) EMEA,Labcorp,"Madrid, Community of Madrid, Spain",On-site,2 weeks ago,Full-time · Mid-Senior level
Norwegian Language Data Analyst,TELUS International AI Data Solutions,"Barcelona, Catalonia, Spain",Hybrid,3 weeks ago,Full-time
"Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Zaragoza, Aragon, Spain",Hybrid,5 days ago,Full-time · Associate
Ingeniero de datos,Imprex,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time · Associate
"Principal Biostatistician, home-based EMEA",Labcorp,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Associate
"Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Málaga, Andalusia, Spain",Hybrid,2 days ago,Full-time
German Language Data Analyst,TransPerfect,"Barcelona, Catalonia, Spain",On-site,1 week ago,Full-time · Mid-Senior level
"Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Oviedo, Principality of Asturias, Spain",On-site,2 days ago,Full-time · Entry level
"Principal Biostatistician, single sponsor, home or office-based EMEA",Labcorp,"Madrid, Community of Madrid, Spain",Remote,1 month ago,Full-time · Mid-Senior level
Data Scientist - DeFi Lending Scoring (Crypto/Web3) 🇪🇸,Koryntia,Spain,On-site,3 weeks ago,Full-time · Mid-Senior level
"Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Alicante, Valencian Community, Spain",On-site,4 months ago,Full-time
"Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Associate
"Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Madrid, Community of Madrid, Spain",On-site,1 week ago,Full-time · Mid-Senior level
HR Data Analyst (Reporting Specialist),Avnet,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time
"Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Barcelona, Catalonia, Spain",Hybrid,4 hours ago,Full-time · Associate
Business Development Support,Allfunds,"Madrid, Community of Madrid, Spain",On-site,2 weeks ago,Full-time · Entry level
